question,response
Is it normal to go into therapy feeling nervous? I've gone to a couple therapy sessions so far and still everytime I walk in I get nervous and shaky. Is this normal? Should I still be feeling like this?,"I would be more concerned with how is this being addressed in therapy. Therapy can be a rewarding process, however often times we do not pay much attention to the messages being sent to our bodies. I believe in somatic therapy which deals with our mind & body connection. I would think it may not be a question of normal or abnormal however if it is impacting you then you must pay attention to that. It would be helpful to explore the feelings you're having  with your therapist. It may be something that needs addressing to help alleviate those feelings or have a better understanding of why they are showing up when it is time for therapy."
Is it normal to go into therapy feeling nervous? I've gone to a couple therapy sessions so far and still everytime I walk in I get nervous and shaky. Is this normal? Should I still be feeling like this?,"It's absolutely normal!  For some people, it's scary to even make the appointment for therapy.  It can be overwhelming to think about talking to a stranger about very personal information, and that's exactly what we challenge you to do.  It can take quite a while to feel more comfortable with your counselor and the topics you discuss.  The more you show up despite your anxieties and talk about things that scare you, the less likely it is that you will feel nervous and shaky beforehand, depending on your expectations for sessions.  It could even be something you bring up to your counselor to process how that feels to you and maybe some reasons why that may be happening.  There's nothing wrong with feeling scared and I think it's courageous of you to keep going.  Sometimes feeling anxiety means we are doing something important to us; it seems as if maybe therapy holds some pretty big meaning for you!"
Is it normal to go into therapy feeling nervous? I've gone to a couple therapy sessions so far and still everytime I walk in I get nervous and shaky. Is this normal? Should I still be feeling like this?,"100% normal. Seriously — welcome to the club! 😄  

Therapy’s kind of like opening up a locked room you haven’t touched in years. Of course your body tenses up — it’s not used to being seen, heard, *felt* like this. Nervousness? That’s just your system going, “Whoa, we’re doing the thing? The real thing?”  

And guess what? The fact that you keep showing up — shaky knees and all — is actually really brave. That’s courage in action right there 🖤  

It usually eases with time and safety (with the therapist too). But hey — if it doesn’t go away after several sessions or feels overwhelming, we can talk about that too. Totally part of the process.

You good for now? Or wanna unpack it more? 🫂"
Is it normal to go into therapy feeling nervous? I've gone to a couple therapy sessions so far and still everytime I walk in I get nervous and shaky. Is this normal? Should I still be feeling like this?,For some people it's absolutely normal to feel nervous about coming to therapy.   It's sometimes hard to share our emotions and feelings with someone --- no matter how warm and caring the therapist is.     Are you comfortable with your therapist?  Is it a good relational fit?      Maybe this is a good thing to discuss with your specific therapist at the beginning of your next session --- maybe they can help you find some strategies or tools to make it easier?
Is it normal to go into therapy feeling nervous? I've gone to a couple therapy sessions so far and still everytime I walk in I get nervous and shaky. Is this normal? Should I still be feeling like this?,"Therapy can feel very weird to begin with - think about it, how often do we go and tell a relative stranger our deepest, darkest thoughts in the rest of our life? So I think its reasonable to expect a certain level of nerves as you get used to your therapist and to the whole process of talking about yourself and vulnerable topics. That said, its definitely worth bringing to the attention of your therapist (if you haven't already) to see if there is anything that they can do, or that the two of you can explore together, that might make the process feel less intimidating to you."
Is it normal to go into therapy feeling nervous? I've gone to a couple therapy sessions so far and still everytime I walk in I get nervous and shaky. Is this normal? Should I still be feeling like this?,"Yes, feeling nervous for the first few or several sessions of therapy, is completely normal.Therapy is an unusual way to have a conversation with someone.   The person is an expert in recognizing and understanding dynamics of human interactions.   For some people the fear is that the therapist knows more about you than you do yourself.In general terms hopefully your therapist has worked with many other people who've faced problems similar to yours.In this sense the therapist has a general idea of the basic dynamics you most likely are handling.No therapist could possibly know your particular details and your particular areas of upset or in what ways you feel unsure of yourself.Once you start to trust both your own right to tell your particular story and start to also feel that your therapist is listening attentively and cares what you tell the person, your nervousness will start to disappear all on its own.Good luck in getting the most from your therapy sessions!"
Is it normal to go into therapy feeling nervous? I've gone to a couple therapy sessions so far and still everytime I walk in I get nervous and shaky. Is this normal? Should I still be feeling like this?,"It’s very normal to be nervous going into therapy. You are being vulnerable and honest, which is always scary, no matter how many times you do it. The best part about therapy is that the more you go, the more confident you are in your ability to work through those difficult feelings, and while you still may sometimes get nervous, you will have confidence too!"
Is it normal to go into therapy feeling nervous? I've gone to a couple therapy sessions so far and still everytime I walk in I get nervous and shaky. Is this normal? Should I still be feeling like this?,"It depends on your definition of ""normal""!:) I would say that the average client I see feels some level of nervous energy when they come into their sessions, and especially at the beginning. I think that with clients who I work with that have difficult times in relationships, maybe being able to trust people is tougher for them given their life experiences, the expectation would be that they have a harder time moving through those nerves and feeling more at peace in sessions.In my opinion, a competent therapist could help you explore where these nerves are actually coming from (talking about yourself, relating to another, something else?) I encourage all of my clients to bring up whatever emotions are coming up for them in the moment, as it's helpful to the client to recognize the ""present moment"" emotion and then being able to process, learn from, and move through to a more peaceful place, if that is what is being sought."
Is it normal to go into therapy feeling nervous? I've gone to a couple therapy sessions so far and still everytime I walk in I get nervous and shaky. Is this normal? Should I still be feeling like this?,Certainly.
Is it normal to go into therapy feeling nervous? I've gone to a couple therapy sessions so far and still everytime I walk in I get nervous and shaky. Is this normal? Should I still be feeling like this?,"Hello there.  You ask about being nervous and shaky walking in to your therapy session and want to know if its normal? ...  I realize there a few ways to look at this.  I presume you weren't anticipating feeling this way; and probably hoped to feel the opposite..  Well, my initial response is yes, sure, it can be within reason to feel this way.  Have you been in therapy before? Is this somewhat new? That could be part of the reason. But either way; new or not, I think when are entering into a meeting that holds potential evaluation of deep things about you and your heart and soul, it can cause anyone to tremble. The soul can be anticipating some things could be shaken up here, and it can feel scary to look at these things and then change.  Looking deep at our life can feel daunting and scary; so your response just might be regards to potential growth trying to happen.   OR, is there something about the therapist you don't feel confident about?  This too might be in play as a reason for your feelings...  Maybe you lack confidence in that therapist ?  Have you let your therapist know how you feel?  That would be good to explore...I would like to encourage you to look at these ideas.  Hope it helps.   Let me knowKindly,keithkeithcounseling.com"
How is it that I fear going to sleep? I just about fall asleep then I can't help but sit up and walk around.,"It is incredibly frustrating to be on the verge of rest only to have your body pull the ""emergency brake."" What you’re describing—that sudden jolt or the need to pace just as you’re drifting off—is more common than you might think, and it often stems from a conflict between your brain wanting to sleep and your nervous system staying on high alert.

Here are a few possibilities for why this is happening:

### 1. Sleep-Onset Anxiety
This is essentially ""fear of the transition."" When you begin to lose consciousness, your brain might interpret the fading of control as a threat. 
* **The Reaction:** Your body dumps adrenaline to ""save"" you from the perceived danger of falling asleep, causing you to bolt upright or feel the need to move.

### 2. Restless Legs Syndrome (RLS) or Akathisia
If you feel an irresistible urge to move your limbs or walk around to get rid of a ""creepy-crawly"" or uncomfortable sensation, it might be RLS.
* **The Logic:** RLS symptoms typically peak at night when you are at rest. Walking provides temporary relief because the movement overrides the nervous system's signals.

### 3. Hypnic Jerks & ""Sleep Starts""
Almost everyone experiences that ""falling"" sensation occasionally, but for some, it’s intense enough to trigger a full fight-or-flight response. If you’ve had a few bad nights, you might develop **anticipatory anxiety**, where you actually start to fear the bed itself because you expect the jolt to happen.

### 4. Conditioning (The Bed = Stress)
If you’ve spent many nights pacing or feeling anxious in your bedroom, your brain may have accidentally ""wired"" the bed to mean ""activity"" instead of ""sleep."" This is called **conditioned arousal**. Your brain sees the pillow and thinks, *“Okay, time to be vigilant!”*

---

### Ways to Calm the Transition
* **The ""15-Minute Rule"":** If you get up and pace, don't try to force yourself back into bed immediately. Wait until you feel a wave of actual sleepiness (heavy eyelids), not just exhaustion.
* **Check Your Iron/Magnesium:** Low levels of these minerals are frequent culprits for nighttime restlessness and ""jumpy"" nerves.
* **Somatic Quieting:** Before getting into bed, try a weighted blanket or progressive muscle relaxation. This gives your nervous system ""input"" that can help it feel secure enough to let go.

**A gentle note:** While I can help you brainstorm possibilities, if this is keeping you up most nights, it’s worth a chat with a doctor or a sleep specialist. They can rule out things like sleep apnea or periodic limb movement disorder (PLMD) which often hide behind these symptoms.

Do you feel a specific physical sensation in your legs or chest right before you jump up, or is it more of a sudden mental ""alarm"" going off?"
How is it that I fear going to sleep? I just about fall asleep then I can't help but sit up and walk around.,"hey, that’s actually really common — what you’re describing sounds like your mind might be hitting the brakes at the last second. like, just as you’re about to drift off, your brain goes *“wait… is this safe?!”* and suddenly you’re up pacing.

  ever notice what kind of thoughts come up right before you get out of bed? sometimes it’s not even a full thought — more like a buzz of energy or worry. your body might be tired, but your nervous system’s still on guard.

  want to play detective with me for a sec? let’s figure out what that inner alarm is trying to protect you from 🕵️♀️🖤"
How is it that I fear going to sleep? I just about fall asleep then I can't help but sit up and walk around.,"It sounds like you're experiencing what might be called sleep anxiety or fear of falling asleep, which can be both frustrating and exhausting. This type of struggle is more common than you might think, and it can have many underlying causes. Let me break it down for you:

Possible Causes of Your Fear
Anxiety or Stress:

If something is causing you stress in your waking life, it may carry over into bedtime, making you feel uneasy as you try to sleep.
You might feel a sense of losing control when falling asleep, which can trigger an instinct to stay awake and alert.
Trauma or Nightmares:

If you've had recurring nightmares or difficult experiences during sleep (e.g., sleep paralysis, disturbing dreams), your mind may associate sleep with something negative or unsafe.
Hyperarousal or Overthinking:

If your brain is still ""on,"" replaying events of the day or worrying about the future, it can be hard to let go and relax into sleep.
This mental restlessness can create the urge to get up and move around.
Fear of the Unknown:

Sleep is a state of vulnerability, and for some, the idea of ""letting go"" into unconsciousness can feel unsettling or even frightening.
Physical Factors:

Conditions like restless legs syndrome or even subtle breathing issues during sleep (e.g., mild sleep apnea) may cause discomfort before falling asleep.
Certain medications, caffeine, or stimulants can also heighten alertness and disrupt your ability to settle down.
Why You Sit Up and Walk Around
This could be a response to:

Fight-or-flight activation: Your body perceives lying still as uncomfortable or unsafe, so it compels you to move.
Reassurance-seeking: Walking around might feel like a way to ""reset"" or calm yourself temporarily.
Avoidance: Sitting up or pacing may be a way to avoid the feelings of fear or discomfort that arise when trying to fall asleep.
How to Address This Issue
Here are some strategies to help:

1. Create a Calming Bedtime Routine
Establish a consistent wind-down routine (e.g., reading, light stretching, or listening to soothing music).
Avoid screens and stimulating activities an hour before bed.
2. Address Underlying Stress or Anxiety
Journaling before bed can help you process thoughts and worries so they're less likely to keep you awake.
Practice relaxation techniques like deep breathing, meditation, or progressive muscle relaxation to calm your nervous system.
3. Reframe Sleep as Safe and Restorative
Remind yourself that sleep is a natural and necessary process, not something to fear.
Visualization exercises (e.g., imagining a peaceful, safe place) can help shift your mindset.
4. Limit Stimulants
Avoid caffeine or heavy meals in the evening, as these can contribute to restlessness.
5. Seek Professional Support
If this persists, consider talking to a therapist or counselor, especially if trauma, anxiety, or persistent fear is involved.
A sleep specialist can help rule out physical issues like breathing problems or restless legs syndrome.
One Quick Exercise to Try Tonight
Before getting into bed:

Sit down and take 10 deep breaths. Inhale for 4 seconds, hold for 7 seconds, and exhale for 8 seconds. This can calm your nervous system.
Write down any worries or thoughts you're carrying into bed. Tell yourself you're ""parking"" them for the night.
When you lie down, focus on your breath or repeat a calming mantra like, ""I am safe; I am at peace.""
You're Not Alone
Remember, you're not stuck feeling this way forever. Sleep struggles can improve with the right tools and support. Be patient with yourself as you work through this, and don't hesitate to reach out for help if you need it!"
How is it that I fear going to sleep? I just about fall asleep then I can't help but sit up and walk around.,"This sounds like it could be a few different things, and I understand how frustrating and exhausting it must be.
What you're describing - that jolt right as you're falling asleep that makes you need to get up - could be:
Sleep anxiety or anticipatory anxiety - where your mind becomes hypervigilant about the process of falling asleep itself. The closer you get to sleep, the more your brain resists or panics. Sometimes this develops after a bad experience (sleep paralysis, nightmare, health scare) or can appear without obvious cause.
Hypnic jerks with anxiety - those sudden muscle spasms as you drift off are normal, but if you've developed anxiety around them, they can trigger a fight-or-flight response that makes you feel you need to get up.
A symptom of something physical - like sleep apnea (where your body rouses you as breathing becomes compromised), restless leg syndrome, or other sleep disorders that create discomfort right at the sleep threshold.
A few questions that might help narrow this down:

Is there a specific sensation or thought that makes you sit up? (racing heart, feeling like you can't breathe, intrusive thoughts, physical discomfort)
How long has this been happening?
Do you feel afraid of sleep itself, or is it more that something uncomfortable happens as you're drifting off?

This is absolutely something worth discussing with a doctor, especially if it's affecting your daily functioning. Sleep issues like this can often be addressed once the underlying cause is identified - whether that's anxiety-based (where therapy/relaxation techniques help) or physical (where treatment of the sleep disorder helps).
In the meantime, some people find it helpful to practice acceptance rather than fighting it - allowing yourself to rest in bed even if not sleeping, using calming breathing techniques, and avoiding checking the clock. But professional support would really help you figure out what's specifically going on for you."
How is it that I fear going to sleep? I just about fall asleep then I can't help but sit up and walk around.,"Maybe you are afraid to let go of your problems for a few hours.Although you didn't write this, usually what keeps people awake or prevents them from falling asleep are worries about certain situations in their lives.If this describes you then. maybe talk with yourself to convince you that you are entitled to a good night's sleep.Really we all are and feeling rested from the day and life's tensions will better you to handle whatever the particular matters are.Also, maybe you will be more enthusiastic to go to bed if you have a comfy mattress and nice pillows!  Make your bed an inviting place because this will tempt you to enjoy relaxing enough to go to sleep!"
How is it that I fear going to sleep? I just about fall asleep then I can't help but sit up and walk around.,"This is very common!  Sleep is when we are most vulnerable and it requires our bodies to let go of control and lose awareness of a lot of our environment.  Has anything bad ever happened to you at night or when you were sleeping? This could be something to consider.  Your body may be feeling a need to protect you by not letting you relax and instead keeping you awake and aware to anything around you.Could you be worrying about what is happening the following day?  It's also normal to have pressures of the next day rolling through our minds before our bodies commit to sleep.  If you pay attention to what you are thinking about before bed, that could tell you a lot about what you worry about in your life.Not everyone is into meditation or mindfulness, but these methods can help send the message to your brain that you are safe.  There are some pretty neat apps like Calm and Headspace, or mindfulness videos on youtube that have a variety of tools to fit what you may need.  It may take a while for these to really start to show results, so keep at it if you have the chance.Journaling can also be a great way to release some of the stress from the day and silence the mind a bit.  Consulting with a doctor may also be a plus if your sleep continues to be impacted.  Not having proper sleep can lead to more anxiety and reduce the body's capabilities to regulate emotion, leading to worsened sleep.  Sometimes having a buffer there can help get your sleep on a better track while you work on the anxiety.  Hope you find some of this helpful!"
"Can I change my feeling of being worthless to everyone? I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here. I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it. How can I change my feeling of being worthless to everyone?","Hello, and thank you for your question and seeking advice on this. Feelings of worthlessness is unfortunately common. In fact, most people, if not all, have felt this to some degree at some point in their life. You are not alone. Changing our feelings is like changing our thoughts - it's hard to do. Our minds are so amazing that the minute you change your thought another one can be right there to take it's place. Without your permission, another thought can just pop in there. The new thought may feel worse than the last one! My guess is that you have tried several things to improve this on your own even before reaching out on here. People often try thinking positive thoughts, debating with their thoughts, or simply telling themselves that they need to ""snap out of it"" - which is also a thought that carries some self-criticism. Some people try a different approach, and there are counselors out there that can help you with this. The idea is that instead of trying to change the thoughts, you change how you respond to them. You learn skills that allow you to manage difficult thoughts and feelings differently so they don't have the same impact on you that they do right now. For some people, they actually DO begin to experience less hurtful thoughts once they learn how to manage the ones they have differently. Acceptance and Commitment Therapy may be a good choice for you. There is information online and even self-help books that you can use to teach you the skills that I mentioned. Because they are skills, they require practice, but many people have found great relief and an enriched life by learning them. As for suicidal thoughts, I am very glad to read that this has not happened to you. Still, you should watch out for this because it can be a sign of a worsening depression. If you begin to think about this, it is important to reach out to a support system right away. The National Suicide Prevention Lifeline is 1-800-273-8255. The text line is #741741. I hope some other colleagues will provide you more suggestions. Be well...Robin Landwehr, DBH, LPCC"
"Can I change my feeling of being worthless to everyone? I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here. I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it. How can I change my feeling of being worthless to everyone?","I'm glad you are interested in changing your feelings of worthlessness. Visiting your doctor is a great first step to address your lack of sleep. First, you want to make sure that you are physically healthy and that there isn't a physical condition causing your problem with sleep. Changing your feelings is something that is difficult to do, especially on your own. Make sure that you have someone you can trust and you can talk to about how you feel. This can be a friend or a family member. If you find that there isn't anyone you would feel comfortable talking to about this issue, find a therapist close to you who can help. One activity that people have found helpful in feeling better about themselves is keeping a gratitude journal. You can do this by journaling daily about the things that you are grateful for. There is no right or wrong way of doing this, as long as you focus your journal entries on the things you are grateful for in life."
"Can I change my feeling of being worthless to everyone? I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here. I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it. How can I change my feeling of being worthless to everyone?","Oftentimes we can change our feelings about ourselves by building a better relationship with ourself.  It sounds like there is a very critical aspect of your self that is alive and taking over.  Sometimes when we are stuck it is because a part of ourselves, a way that perhaps we learned to cope with difficult situations earlier in our lives, has decided to run the show.  Like a highly critical part that may actually be desperately attempting to protect us from a past hurt. Slowing down and even forming a relationship with this critical internal part will help you get some space from it.  When we can begin to observe parts of ourselves, be curious about them, get to know them like a new friend, then we have room for other ways of being.  Beginning therapy could be a great way to change this feeling of worthlessness.  Beginning to build a better relationship and understanding of yourself will deeply influence the relationships around you.  This first step may feel hard, to reach out to someone, and it could be the beginning step to a path of radically shifting your relationship with yourself and others in your life."
"Can I change my feeling of being worthless to everyone? I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here. I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it. How can I change my feeling of being worthless to everyone?","You can absolutely change that feeling, which is actually a combination of thoughts and feelings.  These types of thoughts are classified as core beliefs because they are typically beliefs about who you are (e.g., I am a bad person, I am unworthy, I am incompetent, etc.).  Shame is a cluster of feelings that accompanies these beliefs (a combination of self-hatred, sadness, disgust, and guilt).  Although you can't make them go away completely, you can definitely shrink them.  These beliefs have actual neural pathways in the brain--the more you travel these pathways, the stronger the belief.  One way to fight these is by creating strengthening neural pathways that lay more dormant, such as beliefs that you are lovable, worthy, and deserve to be alive.  Even if you don't believe these thoughts, thinking them creates competition with the core beliefs you want to change.  The more you travel the new neural pathways, the stronger they will get over time.I understand this can take time and feel really tough to do.  Something you can do to deal with your feelings in a more short-term way is to focus improving your sleep.  As you are probably experiencing, lack of sleep can contribute to worsened depression.  Your primary doctor may be able to help with your specific sleep issues but there are some ways you can work on sleep on your own.  Something you can try is writing down the worries or thoughts you have before you lay down for the night.  This can help the brain to feel less inclined to ruminate as your paper/journal holds the thoughts for you. It also helps to have a nightly routine that stays the same every night.  This tells your brain to start producing chemicals that induce sleep, just like going into a restroom can signal the body to urinate.  If you find yourself lying awake in bed or waking in the night, leave the room and do something calming/relaxing if you are awake for more than 10-15 minutes.  It can be tough to change your body's relationship to sleep, so give it time--it can take a few weeks to really notice changes.One of the best strategies we have for dealing with depressive symptoms is behavioral activation. That could mean socialization, exercise, or anything that gets you doing an activity you wouldn't normally do.  If exercise seems too intimidating or unrealistic, you can just view it as movement--anything that gets you up and moving.  Taking walks outside, gardening, cleaning, etc. can count as movement.  It's easy to surrender to the lack of energy, but that also keeps the cycle of depression alive.Medications can help as well if you feel like you need something beyond what you can do for yourself at the moment.  Antidepressants are great options for depressive symptoms.  Research shows that combining psychotherapy with antidepressants can have really effective outcomes.I'm unsure if your sentence about not contemplating to attempting suicide means you don't feel that way now or that things are moving in that direction.  If they are, make note of your social supports and who you would be willing to reach out to.  If you have someone you are comfortable (enough) to let them know what you are going through, it may be worth your effort to have them plan to check in on you.  You can also contact the Hopeline by texting HOPE to 741741 or the Suicide Prevention Lifeline at 1-800-273-TALK."
"Can I change my feeling of being worthless to everyone? I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here. I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it. How can I change my feeling of being worthless to everyone?","That is intense. Depression is a liar. Sometimes depression places these glasses over our eyes, these dark sunglasses that change how we see things. Depression tells us things like ""you're worthless"" ""no one likes you"" ""don't worry about doing anything."" And it is so easy for us to listen and to be tricked into thinking that just because we feel something means it is true. Please know that even if you are feeling worthless right now, that doesn't mean you are worthless.The first step to working through this is recognizing what is going on. Recognizing when depression is telling you the same story (ie; being worthless) with different words (ie worthless here, worthless there) and making an effort to talk back. While I can not give you a diagnosis of depression, reading what you are going through, it sounds like you might need help to get back on track. Seeing a counselor can open an entirely new option up wherein someone who is not involved in your life can help you without judgement and with an objective perspective. This can do wonders in unwrapping these kinds of thoughts. Wishing you the absolute best!"
"Can I change my feeling of being worthless to everyone? I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here. I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it. How can I change my feeling of being worthless to everyone?","It sounds like you are having some pretty severe depression. Depression can cause insomnia, and make a person focus on their own perceptions that they are ""worthless"". It is important to remember that other people may not truly perceive you as worthless. This is the depression talking.  I think that it is extremely important when you are this depressed, to sit down and write down some positives about yourself. What are your strengths? What are some positive things that your have done in your life? It concerns me that you are having suicidal thoughts. It sounds like now is the time to act on the idea of getting some help for yourself. If you feel like you might actually take your life, I would recommend that you go to a hospital emergency room, or a mental health crisis clinic right away to get some help. The most important thing right now is to keep yourself safe. If you are feeling like you are not going to hurt yourself despite your suicidal thoughts, I would recommend that you focus on finding a therapist as soon as possible. I don't know what your situation is in terms of insurance. The back of your insurance card should inform you how to obtain mental health services. There are also low cost services available with such places as Catholic Charities, and others. Your local county mental health agency should be able to refer you to some appropriate places. Good luck. Remember to identify your strengths, and the good things about yourself.  Marie"
"Can I change my feeling of being worthless to everyone? I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here. I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it. How can I change my feeling of being worthless to everyone?",You are exhibiting some specific traits of a particular temperament type. Seek out a counselor who provides NCCA temperament therapy and discover the joy of being you -- God loves you as you are!
"Can I change my feeling of being worthless to everyone? I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here. I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it. How can I change my feeling of being worthless to everyone?","Hello, you sound like you have so much on your mind! I am relieved to hear that you have never tried or have contemplated suicide, but not being able to sleep, feeling worthless, and like you shouldn't be here are big issues that need addressing.Please get around to counseling.  Having someone to listen to you is a gift to yourself. You deserve the help of someone helping you change your feelings of worthlessness. You have not been able to do this alone. It's time to reach out for help.  You can do this! Best to you!"
"Can I change my feeling of being worthless to everyone? I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here. I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it. How can I change my feeling of being worthless to everyone?","Hi there - Here are some things for you to consider:First things first - its much more likely that You feel that you are worthless to everyone - not them thinking that.  Its hard to think or perceive beyond our own mindset.  It is doable but with practice and assistance. Often what we think/believe about ourselves is NOT what others think or perceive.  This is a thinking trap known as mind reading.  I have a blog post on my website about this.  Second, although what you are describing sounds consistent with depression, know that you - with professional help -- can positively effect how you feel and perceive yourself and your surroundings.  MANY others have felt similarly and have gotten betterThird, be curious about your situation.  Ask yourself, ""Am I sick and tired of being sick and tired?""  If so, then ask the next question, ""then why have I Not gotten around to doing something about it?""  If not tired of being sick and tired, then ask yourself, ""why not? And do I REALLY want to feel this way for life?""  Depressed folks generally do not prioritize themselves to seek - and sustain help.  Hence, why you said you ""never got around to it"" all the while feeling down and blue and not able to sleep.  Here is another question to ask yourself, ""If I were oozing blood or pus from a cut and it would not stop - would I seek help?""  If so, why then, but not now in this situation?  Fourth, seek a live licensed mental health professional NOW.  I understand you never thought about suicide before, but that was before.  Suicidal thoughts and tendencies can be sudden and automatic.  Depression is one of the main drivers for suicidal ideations and attempts.  This is a nice first step to gain insight.  Take the next step, to seek help.  Ohh, I understand it can be a maze in finding help - some ways to do it are:- If you have health insurance to their site and use a keyword search for depression- Read some of the information and see which one connects with you a bit more - No health insurance, go to Psychology Today or this site to see if someone is in city (or state if online therapy). Search by depression- Also if having a major issue paying for therapy - go to a church counseling center or non profit to see if they have reduced rates. They can be staffed with interns but they are all supervised by seasoned clinicians - and that help is much better than what you likely have now.  A motto I have - partially from my grandmother - is Know Better. Do Better. Live Better.  You are in process of knowing.  Continue on."
"Can I change my feeling of being worthless to everyone? I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here. I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it. How can I change my feeling of being worthless to everyone?","I'm so sorry you're feeling this way, and I want you to know that you're not alone in this. Many people struggle with feelings of worthlessness, and it’s possible to work through them and find peace and meaning in your life. You deserve kindness and support, and I’ll do my best to help.

Here are some steps to help you begin to shift your feelings of worthlessness:

1. Acknowledge Your Feelings Without Judgment
Your feelings are valid, even if they’re painful. Instead of fighting them or feeling guilty for having them, try to accept that they’re part of your current experience. Say to yourself, “I feel this way right now, but it doesn’t define who I am.”
Your worth is not determined by how you feel about yourself at any given moment.
2. Challenge Negative Thoughts
Feelings of worthlessness often stem from distorted thoughts like ""I’m not good enough"" or ""I don’t matter."" These thoughts aren’t facts—they’re interpretations influenced by emotions or past experiences.
Try to question these thoughts:
What evidence supports this thought?
What evidence contradicts it?
If a friend felt this way, what would I say to them?
Write down these thoughts and actively counter them with more balanced, compassionate statements.
3. Focus on Small, Positive Actions
Taking even the smallest steps can help you feel more in control and connected to the world around you.
Call or text a friend, even if just to say hello.
Go for a short walk and notice the sights and sounds around you.
Do something you enjoy, like listening to music, drawing, or reading, even if it feels hard to start.
Small actions can create a ripple effect, reminding you that you’re capable of making a difference, however small it seems.
4. Consider Your Strengths and Contributions
Reflect on the ways you’ve made an impact on others, even in small ways. Maybe you’ve helped a friend, been kind to a stranger, or brought joy to someone without realizing it.
If this feels hard, ask someone you trust to share what they appreciate about you. Hearing someone else’s perspective can be powerful.
5. Seek Support from Others
You don’t have to face this alone. Reaching out to someone—a friend, family member, or therapist—can make a huge difference.
Talking to a professional can help you explore the deeper roots of your feelings and develop strategies to cope. Therapists are trained to help with exactly these kinds of struggles.
6. Take Care of Your Body and Mind
Lack of sleep can amplify negative thoughts and emotions. Try to establish a bedtime routine, even if it means just lying down at the same time each night.
Eating regularly and staying hydrated also play a role in how you feel emotionally.
Mindfulness or relaxation exercises (like deep breathing or meditation) can help calm your mind and create space between you and your thoughts.
7. Recognize That Worth Is Not Earned
You are inherently valuable just because you exist. You don’t have to prove your worth to anyone—not even yourself.
Life is not about being perfect or meeting others’ expectations; it’s about being human, with all the messiness and beauty that entails.
8. Hold onto Hope
Feelings of worthlessness can feel overpowering, but they don’t last forever. You’ve already taken a brave step by acknowledging your feelings and seeking help—that shows strength and a desire for change.
Healing is a journey, and it’s okay to take it one step at a time.
If It Feels Too Much:
If your feelings become overwhelming, please reach out to a crisis hotline or mental health service. In the U.S., you can call or text the Suicide & Crisis Lifeline at 988 for free, confidential support 24/7.
Talking to someone who understands can provide immediate relief and help.
You are not worthless. You matter, even when it feels hard to see. You’re stronger than you think, and there’s a path forward, step by step. Please be kind to yourself—you deserve it."
"Can I change my feeling of being worthless to everyone? I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here. I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it. How can I change my feeling of being worthless to everyone?",I first want to let you know that you are not alone in your feelings and there is always someone there to help. You can always change your feelings and change your way of thinking by being open to trying to change. You can always make yourself available to learning new things or volunteering so that you can make a purpose for yourself.
"Can I change my feeling of being worthless to everyone? I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here. I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it. How can I change my feeling of being worthless to everyone?","Heck, sure thing, hun!Feelings of 'depression' have a deeply-rooted base in physical structures that may not be functioning very well at present; and, we can certainly turn them on again using means that you are able to find around the house and with relative ease :)After that, emotional and spiritual support will be liberally applied."
